상호명,지점명,도로명주소,경도,위도
폭스바겐,,경기도 성남시 분당구 수내로46번길 12,127.11658679513201,37.380392525885604
폭스바겐,일산전시장,경기도 고양시 일산동구 중앙로 1067,126.78542767935801,37.644332415881706
아우디폭스바겐수원서비스쎈타,수원서비스센터,경기도 수원시 영통구 중부대로 412,127.06020347218399,37.2701969518428
폭스바겐분당다이렉트익스프레스서비스센터,분당다이렉트익스프레스서비스센터,경기도 성남시 분당구 서현로 433,127.144806192673,37.3742923885904
폭스바겐,,경상남도 창원시 마산합포구 해안대로 228,128.570038874232,35.194581287828
폭스바겐,,경상북도 의성군 안계면 안계시장길 63,128.436282381341,36.3859706152359
폭스바겐광주서비스센타,,광주광역시 남구 송암로24번나길 32-1,126.879908645483,35.1119437973134
아우디폭스바겐자동차,,대구광역시 수성구 들안로 185,128.616258424457,35.846534325079105
폭스바겐AS센터,,부산광역시 수영구 광남로 4-2,129.10981755124598,35.1434517895711
폭스바겐자동차남천동,,부산광역시 수영구 수영로 461,129.10990051482,35.1471377103422
폭스바겐코리아,,서울특별시 강남구 영동대로141길 5,127.05426645639099,37.523269851501006
폭스바겐공식서비스센터,,서울특별시 동대문구 천호대로 361,127.059223988765,37.5627033787691
폭스바겐동대문전시장,동대문전시장,서울특별시 동대문구 천호대로 361,127.059223988765,37.5627033787691
폭스바겐,압구정전시장,서울특별시 강남구 언주로 847,127.032826505513,37.526024639830396
폭스바겐강북서비스센터,강북서비스센터,서울특별시 강북구 솔샘로 331,127.02908430624599,37.617386855711295
폭스바겐,울산서비스센터,울산광역시 남구 화합로 236,129.340385668686,35.545684586015895
폭스바겐,전주전시장,전라북도 전주시 완산구 백제대로 246,127.123399489286,35.815047826414705
폭스바겐서비스센타,,전라북도 김제시 백구면 번영로 2154,126.936934548843,35.90852135661579
