,광역시도,시도,20~39세남자,20~39세여자,20~39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
0,강원, 강릉시,25015,20993,46008,17378,23119,40497,101154,101903,203057,1.036768155665852,False
1,강원, 고성군,2307,1699,4006,2957,4048,7005,11933,11688,23621,0.48508208422555316,True
2,강원, 동해시,8801,7510,16311,7075,9077,16152,42093,41795,83888,0.9299157999009411,True
3,강원, 삼척시,7148,5280,12428,6314,8639,14953,31630,30203,61833,0.7062128001070019,True
4,강원, 속초시,8517,7411,15928,5866,8144,14010,37488,38814,76302,1.0579586009992863,False
5,강원, 양구군,2640,2016,4656,1784,2339,4123,10272,9628,19900,0.9779286926994907,True
6,강원, 양양군,2210,1810,4020,3240,4165,7405,12599,12526,25125,0.4888588791357191,True
7,강원, 영월군,2756,2227,4983,4458,5593,10051,17530,16812,34342,0.4431399860710377,True
8,강원, 원주시,42417,40779,83196,20273,26564,46837,163155,166719,329874,1.7413156265345773,False
9,강원, 인제군,3581,2739,6320,2591,3202,5793,14807,13412,28219,0.9456240290005179,True
10,강원, 정선군,2785,2222,5007,3861,4949,8810,16876,15852,32728,0.5044267877412032,True
11,강원, 철원군,4606,3767,8373,3866,5179,9045,20255,19892,40147,0.8329463792150359,True
12,강원, 춘천시,33573,32994,66567,19112,25512,44624,129655,136040,265695,1.4787558264610972,False
13,강원, 태백시,3646,3211,6857,4029,5383,9412,20307,20160,40467,0.6823204419889503,True
14,강원, 평창군,3053,2544,5597,4586,5718,10304,19034,18590,37624,0.4937888198757764,True
15,강원, 홍천군,5979,4987,10966,7127,8697,15824,31608,30923,62531,0.6303083923154702,True
16,강원, 화천군,3023,2166,5189,2112,2751,4863,11302,10398,21700,0.8908081431215299,True
17,강원, 횡성군,3457,3045,6502,5461,6422,11883,20919,20508,41427,0.5124968442312547,True
18,경기, 가평군,5558,4848,10406,6146,7503,13649,27803,27446,55249,0.7103817129460034,True
19,경기, 과천시,6591,6605,13196,3162,4173,7335,25565,26824,52389,1.8009543285616905,False
